epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,5396.19,1.84009,1.05459,1.77381,0.90791,0.84697,0.91454,0.68793,1.86839,1.02818,1.80241,0.0006272,0.0006272,0.0006272
106,5446.07,1.83554,1.0719,1.77129,0.93983,0.83868,0.91129,0.6838,1.86581,1.03097,1.79585,0.000614,0.000614,0.000614
107,5495.77,1.88557,1.10491,1.79387,0.91964,0.84966,0.91289,0.68331,1.882,1.01217,1.80263,0.0006008,0.0006008,0.0006008
108,5546.03,1.84473,1.06221,1.79278,0.9245,0.83827,0.90866,0.67611,1.89471,1.01693,1.80528,0.0005876,0.0005876,0.0005876
109,5596.23,1.859,1.05335,1.78685,0.93221,0.8349,0.91155,0.67934,1.88003,1.04315,1.80715,0.0005744,0.0005744,0.0005744
110,5646.06,1.82398,1.03452,1.7804,0.94461,0.8349,0.91984,0.68662,1.87656,0.99895,1.80101,0.0005612,0.0005612,0.0005612
111,5695.92,1.85323,1.05662,1.78711,0.90435,0.85029,0.91563,0.68438,1.88054,1.00009,1.80658,0.000548,0.000548,0.000548
112,5745.66,1.81698,1.02582,1.77838,0.92653,0.84966,0.91928,0.68693,1.87776,0.97986,1.8015,0.0005348,0.0005348,0.0005348
113,5795.63,1.8402,1.04291,1.77822,0.92219,0.8443,0.91957,0.68254,1.90208,1.00315,1.80547,0.0005216,0.0005216,0.0005216
114,5845.81,1.84059,1.05499,1.78869,0.93374,0.83232,0.91555,0.68225,1.88819,1.00783,1.80254,0.0005084,0.0005084,0.0005084
115,5895.65,1.82544,1.044,1.77364,0.92922,0.84582,0.91924,0.68468,1.8932,0.9951,1.80062,0.0004952,0.0004952,0.0004952
116,5945.48,1.82641,1.01716,1.77364,0.94135,0.83087,0.92312,0.68779,1.89267,0.98719,1.8051,0.000482,0.000482,0.000482
117,5995.25,1.79913,1.03672,1.76773,0.9182,0.85906,0.92143,0.69209,1.86405,0.9761,1.795,0.0004688,0.0004688,0.0004688
118,6045.07,1.82086,1.0334,1.77655,0.93859,0.8255,0.91538,0.68586,1.84839,1.03717,1.7916,0.0004556,0.0004556,0.0004556
119,6094.97,1.80593,1.0127,1.77905,0.94929,0.81477,0.91168,0.68196,1.85839,1.00429,1.79154,0.0004424,0.0004424,0.0004424
120,6144.81,1.81884,1.02861,1.78059,0.94806,0.83303,0.91575,0.68684,1.86665,0.99801,1.78913,0.0004292,0.0004292,0.0004292
121,6194.66,1.7752,0.98679,1.7668,0.92189,0.85638,0.91503,0.68561,1.868,1.01478,1.79289,0.000416,0.000416,0.000416
122,6244.46,1.78014,0.99818,1.77275,0.92711,0.84698,0.92252,0.69108,1.85138,0.98752,1.79299,0.0004028,0.0004028,0.0004028
123,6294.33,1.80315,0.98464,1.76891,0.94004,0.8418,0.92505,0.68953,1.86881,0.99013,1.79931,0.0003896,0.0003896,0.0003896
124,6344.17,1.75764,0.97264,1.76349,0.92554,0.86759,0.92386,0.69801,1.83553,0.97798,1.78855,0.0003764,0.0003764,0.0003764
125,6394.07,1.81271,1.02211,1.76681,0.95314,0.84639,0.92666,0.70056,1.84997,0.96959,1.79032,0.0003632,0.0003632,0.0003632
126,6443.73,1.7577,0.96777,1.76369,0.92419,0.84161,0.91861,0.6913,1.85822,0.97759,1.79436,0.00035,0.00035,0.00035
127,6493.44,1.75334,0.97553,1.75423,0.92227,0.86003,0.92365,0.69675,1.85074,0.98031,1.7939,0.0003368,0.0003368,0.0003368
128,6543.28,1.76775,0.98659,1.77483,0.91961,0.85985,0.92181,0.69404,1.8471,0.99884,1.79276,0.0003236,0.0003236,0.0003236
129,6593.37,1.74991,0.9583,1.75807,0.93535,0.83512,0.92039,0.69117,1.85304,1.00072,1.79391,0.0003104,0.0003104,0.0003104
130,6643.1,1.76574,0.95652,1.7585,0.91939,0.86443,0.92275,0.69289,1.85387,0.99782,1.79165,0.0002972,0.0002972,0.0002972
131,6692.77,1.761,0.95831,1.75722,0.9222,0.85101,0.92068,0.69292,1.84996,0.9959,1.79708,0.000284,0.000284,0.000284
132,6742.69,1.73018,0.95392,1.75201,0.90209,0.86309,0.9216,0.68773,1.86049,1.00773,1.79691,0.0002708,0.0002708,0.0002708
133,6792.4,1.7364,0.94124,1.76291,0.94163,0.84454,0.92063,0.69127,1.85853,0.99572,1.79684,0.0002576,0.0002576,0.0002576
134,6842.06,1.76244,0.95886,1.76439,0.9314,0.85661,0.9221,0.6906,1.85185,0.9926,1.7968,0.0002444,0.0002444,0.0002444
135,6891.79,1.71388,0.93726,1.74966,0.92591,0.85369,0.92101,0.69107,1.85024,0.99523,1.7948,0.0002312,0.0002312,0.0002312
136,6941.55,1.71281,0.93455,1.75117,0.94084,0.8443,0.92254,0.68975,1.86308,1.00098,1.79432,0.000218,0.000218,0.000218
137,6991.2,1.71074,0.93543,1.75234,0.93038,0.85235,0.92447,0.69174,1.86264,0.99835,1.79738,0.0002048,0.0002048,0.0002048
138,7040.94,1.75901,0.93208,1.75629,0.92585,0.85481,0.92099,0.69457,1.84782,0.99735,1.79039,0.0001916,0.0001916,0.0001916
139,7090.88,1.68652,0.89894,1.75518,0.92034,0.85294,0.92221,0.69653,1.83816,0.99557,1.79246,0.0001784,0.0001784,0.0001784
140,7140.68,1.74664,0.92499,1.75456,0.91631,0.86712,0.92526,0.69515,1.84798,0.98222,1.7962,0.0001652,0.0001652,0.0001652
141,7215.54,1.70317,0.87675,1.73203,0.9397,0.8443,0.91574,0.68562,1.85083,1.00517,1.79682,0.000152,0.000152,0.000152
142,7264.79,1.67809,0.83822,1.72092,0.94736,0.84543,0.91943,0.69145,1.84347,0.987,1.79024,0.0001388,0.0001388,0.0001388
143,7313.9,1.66544,0.82893,1.72802,0.94498,0.85306,0.92133,0.69107,1.84389,0.97794,1.79313,0.0001256,0.0001256,0.0001256
144,7363.04,1.69386,0.84208,1.72762,0.93247,0.87119,0.92387,0.69186,1.84635,0.97159,1.79236,0.0001124,0.0001124,0.0001124
145,7412.29,1.6604,0.82483,1.71757,0.93635,0.86846,0.92376,0.69633,1.84045,0.95908,1.78985,9.92e-05,9.92e-05,9.92e-05
146,7461.37,1.65537,0.81082,1.72399,0.93963,0.85906,0.92494,0.69606,1.83209,0.95745,1.78897,8.6e-05,8.6e-05,8.6e-05
147,7510.5,1.67589,0.82287,1.72888,0.92792,0.86393,0.92336,0.69278,1.83269,0.96453,1.78777,7.28e-05,7.28e-05,7.28e-05
148,7559.74,1.65879,0.82878,1.72606,0.92364,0.87114,0.92318,0.6938,1.82729,0.95698,1.78767,5.96e-05,5.96e-05,5.96e-05
149,7608.92,1.6509,0.78878,1.72472,0.93372,0.86577,0.92423,0.69719,1.82038,0.95636,1.78527,4.64e-05,4.64e-05,4.64e-05
150,7658.63,1.65186,0.80688,1.7223,0.92439,0.87383,0.9258,0.69734,1.82115,0.95794,1.78653,3.32e-05,3.32e-05,3.32e-05
